,Artist ID,Name,Nationality,Gender,Birth Year,Death Year,age
0,1,Robert Arneson,American,Male,1930.0,1992.0,62.0
9,11,Jean (Hans) Arp,French,Male,1886.0,1966.0,80.0
11,13,J. Arrelano Fischer,Mexican,Male,1911.0,1995.0,84.0
12,15,Folke Arstrom,Swedish,Male,1907.0,1997.0,90.0
13,16,Cristobal Arteche,Spanish,Male,1900.0,1964.0,64.0
15,19,Richard Artschwager,American,Male,1923.0,2013.0,90.0
16,21,Ruth Asawa,American,Female,1926.0,2013.0,87.0
18,23,Charles Robert Ashbee,British,Male,1863.0,1942.0,79.0
20,25,E. M. Ashe,American,Male,1867.0,1941.0,74.0
22,27,Erik Gunnar Asplund,Swedish,Male,1885.0,1940.0,55.0
25,31,Dana Atchley,American,Female,1941.0,2000.0,59.0
28,34,Alvar Aalto,Finnish,Male,1898.0,1976.0,78.0
29,35,Aino Aalto,Finnish,Female,1894.0,1949.0,55.0
31,37,Jules Aarons,American,Male,1921.0,2008.0,87.0
33,39,James Abbe,American,Male,1883.0,1973.0,90.0
34,40,Jussuff Abbo,British,Male,1888.0,1953.0,65.0
35,41,Berenice Abbott,American,Female,1898.0,1991.0,93.0
36,42,Nobuya Abe,Japanese,Male,1913.0,1971.0,58.0
40,47,Raimund Abraham,American,Male,1933.0,2010.0,77.0
42,50,Gerald Abramovitz,British,Male,1928.0,2011.0,83.0
43,51,William Ross Abrams,American,Male,1920.0,2007.0,87.0
48,56,Luis Alberto Acuña,Colombian,Male,1904.0,1994.0,90.0
49,57,Henri Georges Adam,French,Male,1904.0,1967.0,63.0
50,58,Antoine Samuel Adam-Salomon,French,Male,1818.0,1881.0,63.0
52,60,Ansel Adams,American,Male,1902.0,1984.0,82.0
54,62,Clinton Adams,American,Male,1918.0,2002.0,84.0
55,63,Dacres Adams,British,Male,1864.0,1951.0,87.0
57,65,Kenneth M. Adams,American,Male,1897.0,1966.0,69.0
60,68,Charles Addams,American,Male,1912.0,1988.0,76.0
61,69,Allan Adler,American,Male,1916.0,2002.0,86.0
62,70,Jankel Adler,Polish,Male,1895.0,1949.0,54.0
63,71,Virginia Admiral,American,Female,1915.0,2000.0,85.0
65,74,Roy Adzak,British,Male,1927.0,1987.0,60.0
67,77,Afro (Afro Basaldella),Italian,Male,1912.0,1976.0,64.0
70,80,Mehemed Fehmy Agha,American,Male,1896.0,1978.0,82.0
72,82,Peter Agostini,American,Male,1913.0,1993.0,80.0
73,83,Olympe Aguado de las Marismas,French,Male,1827.0,1894.0,67.0
74,84,Dongkuk S. Ahn,American,Male,1937.0,2013.0,76.0
75,85,Aarne Aho,Finnish,Male,1904.0,1978.0,74.0
76,86,Otl Aicher (also known as Otto Aicher),German,Male,1922.0,1991.0,69.0
77,87,Lucien Aigner,American,Male,1901.0,1999.0,98.0
78,88,Gregory Ain,American,Male,1908.0,1988.0,80.0
79,89,Edgar Ainsworth,British,Male,1906.0,1975.0,69.0
80,91,Roberto Aizenberg,Argentine,Male,1928.0,1996.0,68.0
84,95,Alastair (Hans H. Voight),German,Male,1887.0,1969.0,82.0
85,96,Anni Albers,American,Female,1899.0,1994.0,95.0
86,97,Josef Albers,American,Male,1888.0,1976.0,88.0
88,99,Joan Albert,American,Female,1943.0,2012.0,69.0
89,100,Ivan Le Lorraine Albright,American,Male,1897.0,1983.0,86.0
91,103,Albert Alcalay,American,Male,1917.0,2008.0,91.0
92,104,L. (Alfred Lewin Copley) Alcopley,American,Male,1910.0,1992.0,82.0
101,115,Yves Alix,French,Male,1890.0,1969.0,79.0
102,116,Wobbe Alkema,Dutch,Male,1900.0,1984.0,84.0
104,118,Alexander Alland,American,Male,1902.0,1989.0,87.0
107,121,Adrian Allinson,British,Male,1890.0,1959.0,69.0
109,124,Glen Alps,American,Male,1914.0,1996.0,82.0
111,127,Gerhard Altenbourg,German,Male,1926.0,1989.0,63.0
113,129,Harold Altman,American,Male,1924.0,2003.0,79.0
115,132,John Altoon,American,Male,1925.0,1969.0,44.0
116,135,Manuel Álvarez Bravo,Mexican,Male,1902.0,2002.0,100.0
119,138,Edmond-François Aman Jean,French,Male,1858.0,1936.0,78.0
124,143,Irving Amen,American,Male,1918.0,2011.0,93.0
127,148,Florencia de Amesti,Chilean,Female,1925.0,2006.0,81.0
128,149,Cuno Amiet,Swiss,Male,1868.0,1961.0,93.0
129,150,Francisco Amighetti Ruiz,Costa Rican,Male,1907.0,1998.0,91.0
132,154,Mauricio Amster Cats,Chilean,Male,1907.0,1980.0,73.0
136,159,Gunnar Aagaard Andersen,Danish,Male,1919.0,1982.0,63.0
138,161,Clarence William Anderson,American,Male,1891.0,1971.0,80.0
139,162,Carl Anderson,American,Male,1903.0,1989.0,86.0
141,164,Jeremy Anderson,American,Male,1921.0,1982.0,61.0
142,165,James Anderson,British,Male,1813.0,1877.0,64.0
146,169,Paul L. Anderson,American,Male,1880.0,1956.0,76.0
149,173,Farnese de Andrade-Neto,Brazilian,Male,1926.0,1996.0,70.0
154,178,Laura Andreson,American,Female,1902.0,1999.0,97.0
156,180,Benny Andrews,American,Male,1930.0,2006.0,76.0
157,181,Emmy Andriesse,Dutch,Female,1914.0,1953.0,39.0
159,183,Manuel Angeles Ortiz,Spanish,Male,1895.0,1984.0,89.0
160,184,Ludwig Angerer,Austrian,Male,1827.0,1879.0,52.0
162,186,Raúl Anguiano,Mexican,Male,1915.0,2006.0,91.0
163,188,Sibyl Anikeef,American,Female,1896.0,1996.0,100.0
164,189,James Craig Annan,British,Male,1864.0,1946.0,82.0
165,190,Thomas Annan,British,Male,1829.0,1887.0,58.0
169,196,Stephen Antonakos,American,Male,1926.0,2013.0,87.0
171,199,Nemesio Antúnez,Chilean,Male,1918.0,1993.0,75.0
175,203,Karel Appel,Dutch,Male,1921.0,2006.0,85.0
178,207,Shusaku Arakawa,American,Male,1936.0,2010.0,74.0
179,208,Diane Arbus,American,Female,1923.0,1971.0,48.0
180,209,Aleksandr Archipenko,American,Male,1887.0,1964.0,77.0
181,211,Mordecai Ardon,Israeli,Male,1896.0,1992.0,96.0
182,212,Luis Arenal,Mexican,Male,1909.0,1985.0,76.0
183,214,Egmont Arens,American,Male,1888.0,1966.0,78.0
185,216,Avigdor Arikha,Romanian,Male,1929.0,2010.0,81.0
186,217,Gonzalo Ariza,Colombian,Male,1912.0,1995.0,83.0
189,220,Arman,American,Male,1928.0,2005.0,77.0
192,224,Kenneth Armitage,British,Male,1916.0,2002.0,86.0
193,225,John Taylor Arms,American,Male,1887.0,1953.0,66.0
194,226,John Armstrong,British,Male,1893.0,1973.0,80.0
195,227,François Arnal,French,Male,1924.0,2012.0,88.0
197,229,Eugène Atget,French,Male,1857.0,1927.0,70.0
198,230,John Atherton,American,Male,1900.0,1952.0,52.0
199,231,Anna Atkins,British,Female,1797.0,1871.0,74.0
201,233,Lawrence Atkinson,British,Male,1873.0,1931.0,58.0
203,235,Jean-Michel Atlan,French,Male,1913.0,1960.0,47.0
205,238,Carl Auböck,Austrian,Male,1924.0,1993.0,69.0
206,239,Charles Aubry,French,Male,1811.0,1877.0,66.0
208,241,Gae Aulenti,Italian,Female,1930.0,2012.0,82.0
210,243,George Ault,American,Male,1891.0,1948.0,57.0
211,244,Darrel Austin,American,Male,1907.0,1994.0,87.0
213,246,Mario Avati,Italian,Male,1921.0,2009.0,88.0
214,247,Edward Avedisian,American,Male,1936.0,2007.0,71.0
215,248,Richard Avedon,American,Male,1923.0,2004.0,81.0
216,249,Frances Avery,American,Female,1910.0,2006.0,96.0
217,250,Milton Avery,American,Male,1885.0,1965.0,80.0
220,254,Kiyoshi Awazu,Japanese,Male,1929.0,2009.0,80.0
